NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito,TerminoPartida,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 54,5,4,25,17,19,14,0,125,0,25,0.0,0.5,FEAR,SIM,Feliz,17,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 54,5,3,28,17,21,15,50,100,15,25,0.0,2.5,FEAR,SIM,Feliz,17,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 54,5,4,28,14,8,9,25,50,20,10,1.5,1.5,Spelunky,SIM,Feliz,17,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 54,5,3,28,18,22,16,50,25,25,5,2.0,2.0,FEAR,SIM,Feliz,17,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 54,5,4,24,17,14,12,100,0,0,0,2.0,0.0,FEAR,SIM,Feliz,17,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 52,4,4,26,14,8,8,50,0,10,0,3.0,0.0,Spelunky,SIM,Indiferente,18,21,M,Sistemas de Informação,8,1080p,75,Nenhum,0,Mouse e Manete e Celular
Player 11,6,3,18,14,9,9,125,50,25,15,2.5,2.5,Spelunky,SIM,Feliz,16,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 11,5,3,25,14,10,10,125,0,20,0,2.5,0.0,Half-Life 2,SIM,Feliz,16,19,M,Física,3,1080p,60,Nenhum,0,Mouse
Player 55,3,5,19,13,8,9,0,50,0,20,0.0,0.0,Half-Life 2,NAO,Indiferente,14,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,2,3,25,14,10,10,150,50,0,0,2.5,2.5,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,2,3,24,15,10,10,150,50,25,0,2.0,2.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,24,14,10,10,25,0,5,0,0.5,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,26,15,10,10,100,125,25,10,1.0,1.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,24,15,10,10,25,0,10,0,1.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,4,24,14,10,10,50,150,20,0,0.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,26,15,10,10,25,125,10,15,0.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,4,3,26,14,10,10,50,100,20,0,1.5,1.5,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,4,25,15,10,10,0,125,0,0,0.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,28,15,10,10,50,0,5,0,0.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,4,18,14,9,9,0,100,0,10,0.0,0.0,Half-Life 2,NAO,Indiferente,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 55,3,3,21,15,9,9,50,75,20,15,2.5,2.5,Half-Life 2,SIM,Feliz,15,61,M,Ensino Médio,0,-1080p,60,Nenhum,0,Mouse
Player 6,6,3,14,13,8,9,0,150,0,10,0.0,0.5,Spelunky,SIM,Indiferente,20,23,M,Sistemas de Informação,4,1080p,60,Nenhum,0,Mouse e Manete
Player 28,5,3,23,17,21,14,50,150,25,0,0.0,0.0,FEAR,SIM,Feliz,15,27,M,Mestrado Física,-1,1080p,60,Nenhum,0,Manete
Player 28,1,4,21,17,20,14,100,50,25,25,0.5,0.5,FEAR,SIM,Feliz,15,27,M,Mestrado Física,-1,1080p,60,Nenhum,0,Manete
Player 28,5,3,25,14,13,12,125,0,0,0,1.5,0.0,Half-Life 2,SIM,Feliz,15,27,M,Mestrado Física,-1,1080p,60,Nenhum,0,Manete
Player 28,4,4,20,17,22,14,0,50,0,10,0.0,1.0,FEAR,SIM,Feliz,15,27,M,Mestrado Física,-1,1080p,60,Nenhum,0,Manete
Player 28,3,3,21,17,23,16,100,0,25,0,2.5,0.0,FEAR,SIM,Feliz,15,27,M,Mestrado Física,-1,1080p,60,Nenhum,0,Manete
